sample,subject,condition,mmse
0,4,two_back,1.4954623113353651
1,4,two_back,1.7162770851184135
2,4,two_back,1.7599543192752647
3,4,two_back,1.7506135490270778
4,4,two_back,1.7885915592851473
5,4,two_back,1.7964066499658726
6,4,two_back,1.7828526736614898
7,4,two_back,1.7488653507084648
8,4,two_back,1.78078298350977
9,4,two_back,1.744941582358091
10,4,two_back,1.525219370660557
0,4,no_back,1.833934658460401
1,4,no_back,1.7825163755333637
2,4,no_back,1.7094975336789038
3,4,no_back,1.743680752174449
4,4,no_back,1.804380028637102
5,4,no_back,1.7496247873379425
6,4,no_back,1.7177886054587255
7,4,no_back,1.7555003685126591
8,4,no_back,1.78175809035648
9,4,no_back,1.849785766681981
10,4,no_back,1.8384295398402684
0,5,two_back,1.6393635808924196
1,5,two_back,1.601449598053971
2,5,two_back,1.5053169448895545
3,5,two_back,1.869606765828425
4,5,two_back,1.7698244954464157
5,5,two_back,1.7692063314065047
6,5,two_back,1.899887221574758
7,5,two_back,1.8593848499289891
8,5,two_back,1.8548110954469266
9,5,two_back,1.7818020980314007
10,5,two_back,1.74645617799838
0,5,no_back,1.7787075394303977
1,5,no_back,1.7334426788521242
2,5,no_back,1.7019575912565907
3,5,no_back,1.7525272286308113
4,5,no_back,1.7362742881222302
5,5,no_back,1.5266147779525814
6,5,no_back,1.600300648793643
7,5,no_back,1.7744482104774502
8,5,no_back,1.8367392911452465
9,5,no_back,1.8209614167132357
10,5,no_back,1.7996399007908463
0,6,two_back,1.3900855243043315
1,6,two_back,1.5787977754077835
2,6,two_back,1.6451627975953023
3,6,two_back,1.620816046852621
4,6,two_back,1.6237291295092833
5,6,two_back,1.500351262982121
6,6,two_back,1.4550408067738085
7,6,two_back,1.5323914522252287
8,6,two_back,1.6828255671407713
9,6,two_back,1.657349025921602
10,6,two_back,1.4384906285978045
0,6,no_back,1.6057488896165795
1,6,no_back,1.6129531522735268
2,6,no_back,1.613655487039612
3,6,no_back,1.605982928549004
4,6,no_back,1.548283948806755
5,6,no_back,1.4926476423739774
6,6,no_back,1.5307882691047359
7,6,no_back,1.4751195667629013
8,6,no_back,1.4537584306904243
9,6,no_back,1.4473841991443144
10,6,no_back,1.4844344463064763
0,7,two_back,1.6811073610606408
1,7,two_back,1.8189545454176528
2,7,two_back,1.9285949695732247
3,7,two_back,1.8945149090212359
4,7,two_back,1.6811510317430427
5,7,two_back,1.6248698125484042
6,7,two_back,1.741184233416646
7,7,two_back,1.821067904223845
8,7,two_back,1.8175433359454714
9,7,two_back,1.6431320048570375
10,7,two_back,1.6342568041267111
0,7,no_back,1.7981669073930355
1,7,no_back,1.6340000516232969
2,7,no_back,1.5674987664568856
3,7,no_back,1.617627046717559
4,7,no_back,1.5998220061313138
5,7,no_back,1.7372653481074107
6,7,no_back,1.8633043666118665
7,7,no_back,1.7780094033608136
8,7,no_back,1.7167862556408926
9,7,no_back,1.694936722023145
